source,target,color
60755,62069,0
60755,62082,0
60755,62098,0
60755,63279,0
60755,63325,0
60755,59650,0
60755,70870,0
60755,59656,4
60755,63278,0
60755,68769,0
60755,70871,0
60755,73156,16
60755,74231,16
60755,76402,16
60755,77411,16
60755,77430,16
60755,78397,16
60755,80254,16
60755,80255,16
60755,80270,16
60755,82156,20
60755,82157,20
60755,82173,20
60755,64390,0
60755,60737,4
60755,60740,0
60755,60768,0
60755,65569,0
60755,62066,4
60755,65551,0
60755,65570,0
60755,63280,0
67622,67630,0
67622,64378,0
67622,68679,0
67622,70870,0
67622,60720,0
67622,66610,0
67622,67629,0
67622,60721,0
67622,67638,0
67622,60740,0
67622,60768,0
67622,65536,0
67622,66641,0
67622,210886,13
67622,211710,13
67630,64378,0
67630,60720,0
67630,66610,0
67630,60721,0
67630,60740,0
67630,60768,0
67630,65536,0
67630,66641,0
69828,63312,0
69828,63293,0
69828,65604,0
69828,68730,3
70880,60738,4
70880,60757,0
70880,59650,0
70880,70888,0
70880,75205,0
70880,59656,4
70880,70871,0
70880,62095,0
70880,63292,0
70880,60720,0
70880,63308,0
70880,69841,0
70880,70879,0
70880,71927,0
70880,60721,0
70880,60740,0
70880,60756,0
70880,62096,0
70880,68750,0
70880,68789,0
70880,69883,11
70880,82158,0
70880,83108,0
70880,83107,0
76400,77427,16
76400,78408,16
76400,73136,16
76400,74195,16
76400,80276,16
76400,75309,16
76400,73135,16
76400,76353,16
76400,76354,16
76400,77395,16
76400,81242,16
76400,82180,16
76400,80268,16
76400,80269,16
76400,73156,16
76400,74231,16
76400,75278,16
76400,75310,16
76400,76402,16
76400,63327,0
76400,75246,16
76400,75306,16
76400,75327,16
76400,76401,16
76400,77409,16
76400,78396,16
76400,76371,16
76400,76385,16
76400,72060,16
76400,72087,16
76400,73111,16
76400,73157,16
76400,73158,16
76400,74214,16
76400,74234,16
76400,77408,16
76400,80288,16
76400,75328,16
76400,72043,16
76400,72107,16
76400,80285,16
76400,75307,16
76400,76333,16
76400,72085,16
76400,74213,16
76400,74233,16
76400,75329,16
76400,66620,16
76400,76418,16
76400,76419,16
76400,76399,16
76400,77428,16
76400,76384,16
76400,77396,16
76400,76386,16
76400,76398,16
76400,77370,16
76400,77410,16
76400,72106,16
76400,76372,16
76400,77426,16
76400,80289,16
76400,81241,16
76400,82181,16
77427,78408,16
77427,73136,16
77427,74195,16
77427,80276,16
77427,75309,16
77427,73135,16
77427,77381,16
77427,77430,16
77427,75308,16
77427,76401,16
